userName,major,researchExp,industryExp,specialization,toeflScore,program,department,internExp,greV,greQ,journalPubs,greA,termAndYear,confPubs,ugCollege,univName,admit,topperCgpaScale,CgpaScale
6941,174,0,0,2001,0.2945598094678508,1,590,0,1.577598969299712,1.075187816873504,0.0,4.5,15,0.0,953,50,1,0.0,0.73
6942,56,0,0,2103,0.18509489128476947,1,967,0,1.3476630493058523,1.1061665376127765,0.0,3.5,15,0.0,914,35,1,0.88,0.8265
6943,56,0,0,2001,0.18509489128476947,1,346,0,0.8418040253193609,1.199102699830594,0.0,3.5,15,0.0,166,4,1,0.95,0.79
6944,85,0,0,2925,-0.09951389599124204,1,792,0,-0.7585499778379021,-0.7773396833349918,0.0,3.0,17,0.0,1384,0,1,0.9,0.8340000000000001
6945,56,0,0,2001,-0.011941961444776958,1,967,0,0.887791209318133,0.9512729339164141,0.0,3.5,15,0.0,181,0,1,0.93,0.805
6946,56,0,0,2001,-2.2012403251064043,1,967,0,-1.4575551746192354,-1.2791949593112064,0.0,0.0,22,0.0,871,12,1,0.0,0.0
6947,115,0,0,2693,-2.2012403251064043,1,590,0,0.7498296573218172,0.7963793302200514,0.0,2.5,17,0.0,1688,47,1,0.86,0.72
6948,115,0,0,2001,-0.07762091235462577,1,1113,0,-0.7631486962377793,-0.7773396833349918,0.0,4.0,17,0.0,1115,20,1,0.924,0.8039999999999999
6949,48,0,0,1203,-0.09951389599124204,1,507,2,-0.7815435698372881,-0.7587524508914284,0.0,3.5,22,0.0,1657,35,1,0.945,0.835
6950,56,0,0,888,0.1632019076481532,1,320,0,-0.7401551042383934,-0.7897311716307008,0.0,3.0,19,0.0,1679,35,1,0.0,0.76
6951,176,0,0,2001,0.3164527931044671,1,467,0,1.623586153298484,1.199102699830594,0.0,4.0,17,0.0,769,20,1,0.77,0.68
6952,56,0,0,2001,0.2507738421946183,1,377,0,1.3476630493058523,1.1371452583520492,0.0,3.5,17,0.0,99,13,1,0.996,0.8440000000000001
6953,37,0,0,1399,0.07562997310168812,1,217,0,0.5658809213267295,1.0132303753949592,0.0,4.0,15,0.0,977,37,1,0.934,0.934
6954,56,0,0,2049,0.009951022191839312,1,967,0,1.393650233304624,1.075187816873504,0.0,3.5,15,0.0,465,20,1,0.86,0.7498
6955,75,6,0,3338,0.053736989465071855,1,1368,6,-0.7631486962377793,-0.7959269157785553,0.0,3.5,22,1.0,1766,34,1,0.83,0.752
6957,56,0,0,208,0.031844005828455584,1,291,0,-0.7401551042383934,-0.7742418112610646,0.0,3.5,17,0.0,34,21,1,0.96,0.9293
6958,137,0,0,592,0.2507738421946183,1,276,0,1.0257527613144488,1.1061665376127765,0.0,4.0,41,0.0,1706,12,1,0.85,0.64
6959,56,0,0,2001,0.031844005828455584,1,1,0,-0.7217602306388845,-0.7804375554089191,0.0,3.5,19,0.0,99,47,1,1.0,0.726
6960,2,0,0,1453,-0.055727928718009495,2,15,0,-0.7263589490387617,-0.7742418112610646,0.0,3.5,17,0.0,549,36,1,0.94,0.89
6961,137,0,0,2001,0.14130892401153694,1,678,0,1.439637417303396,1.1061665376127765,0.0,0.0,11,0.0,871,47,1,0.85,0.64
6962,115,0,0,2173,0.14130892401153694,1,467,0,1.1637143133107646,1.199102699830594,0.0,3.5,15,0.0,166,18,1,0.92,0.885
6963,114,0,0,1658,-0.2308717978109397,1,766,0,-0.7999384434367969,-0.7990247878524827,0.0,3.0,19,0.0,1199,20,1,0.9,0.72
6965,56,0,30,2001,0.07562997310168812,1,320,0,-0.7263589490387617,-0.7587524508914284,0.0,3.5,22,0.0,1605,0,1,0.804,0.701
6968,115,0,0,2001,0.3383457767410833,1,1,0,1.3016758653070803,1.1681239790913214,0.0,4.0,19,0.0,941,24,1,0.91,0.865
6969,56,0,0,2001,-0.03383494508139323,1,387,0,-0.7815435698372881,-0.7742418112610646,0.0,3.0,19,0.0,673,14,1,0.76,0.62
6970,89,0,0,1253,0.22888085855800205,0,740,0,-0.7355563858385161,-0.7711439391871374,0.0,3.5,22,0.0,93,0,1,0.8909999999999999,0.8909999999999999
6971,39,0,0,773,0.009951022191839312,1,1336,0,1.1177271293119926,1.1681239790913214,0.0,4.0,17,0.0,1671,0,1,0.89,0.7
6973,56,0,12,2001,0.031844005828455584,1,320,0,-0.7493525410381477,-0.7618503229653556,0.0,4.0,23,0.0,103,13,1,0.96,0.92
6974,48,0,0,2001,-0.2308717978109397,1,804,6,-0.7999384434367969,-0.7897311716307008,0.0,3.0,22,0.0,1188,47,1,0.8390000000000001,0.8390000000000001
6975,77,0,0,3097,-2.04798943965009,1,467,0,0.6118681053255014,0.8893154924378689,0.0,3.0,15,0.0,1279,11,1,0.98,0.67
6977,89,0,0,1097,0.2507738421946183,1,887,0,1.0717399453132208,1.1681239790913214,0.0,3.5,14,0.0,1388,0,1,0.84,0.78
6978,6,0,0,2922,0.009951022191839312,1,27,0,-0.7723461330375336,-0.7959269157785553,0.0,3.0,50,0.0,1014,44,1,0.0,0.905
6979,12,0,0,2001,0.14130892401153694,1,320,0,-0.7539512594380249,-0.7742418112610646,0.0,4.0,17,0.0,905,2,1,0.97,0.8880000000000001
6980,56,0,0,2001,0.07562997310168812,1,1,0,-0.7677474146376565,-0.7711439391871374,0.0,0.0,22,0.0,1026,14,1,0.096,0.0806
6981,45,0,0,2001,0.2507738421946183,1,740,0,-0.7677474146376565,-0.7649481950392829,0.0,4.0,19,0.0,961,33,1,0.9229999999999999,0.7959999999999999
6982,77,0,0,2001,-0.2308717978109397,1,531,0,-0.7631486962377793,-0.7742418112610646,0.0,3.0,19,0.0,229,44,1,0.83,0.7284999999999999
6983,77,0,0,601,0.20698787492138573,1,467,0,-0.7907410066370425,-0.7525567067435739,0.0,4.0,19,0.0,1108,50,1,0.968,0.92
6984,56,0,0,2611,-0.4060156669038698,1,326,0,-0.7907410066370425,-0.7773396833349918,0.0,3.0,22,0.0,436,47,1,0.8340000000000001,0.8340000000000001
6985,56,6,12,1687,0.2945598094678508,1,320,7,-0.7447538226382705,-0.7773396833349918,0.0,4.5,22,0.0,905,23,1,0.98,0.946
6986,56,0,0,2001,-0.2965507487207885,1,906,0,-0.8137345986364284,-0.8114162761481917,0.0,3.5,17,0.0,1044,21,1,0.0,0.6
6987,77,0,0,3324,0.0975229567383044,1,1383,0,-0.7861422882371653,-0.7711439391871374,0.0,4.0,17,0.0,868,38,1,0.963,0.9590000000000001
6988,137,0,65,2001,0.2945598094678508,1,207,4,-0.7309576674386391,-0.7742418112610646,0.0,4.5,23,0.0,889,2,1,0.0,0.75
6989,56,0,0,970,0.009951022191839312,1,320,0,0.7958168413205892,1.1061665376127765,0.0,3.5,40,0.0,1119,14,1,0.0,0.6920000000000001
6990,48,0,0,2001,0.20698787492138573,1,276,0,1.577598969299712,1.075187816873504,0.0,3.0,17,0.0,854,27,1,0.0,1.9125
6991,89,0,0,1281,0.14130892401153694,1,466,0,0.4739065533291856,1.0442090961342314,0.0,4.5,17,0.0,464,34,1,0.946,0.852
6992,77,0,0,1767,0.07562997310168812,1,1012,0,-0.7447538226382705,-0.7835354274828463,0.0,4.5,19,0.0,905,20,1,0.95,0.768
6993,56,0,0,2001,0.14130892401153694,1,199,0,-0.7355563858385161,-0.7773396833349918,0.0,3.0,22,0.0,1679,0,1,0.94,0.89
6995,56,0,0,2605,-0.055727928718009495,1,207,6,-0.7631486962377793,-0.7928290437046281,0.0,3.0,23,0.0,86,45,1,0.8,0.7406999999999999
